User logged in on |11/3/2017,8:51,login
User queried car listing from the city of New York on |11/3/2017,8:51,car,listing
User booked a car from the city of New Yorkon |11/3/2017,8:52,car,buying
User queried car listing from the city of  on |11/3/2017,10:10,car,listing
User queried car listing from the city of San Jose on |11/3/2017,10:11,car,listing
User queried car listing from the city of New York on |11/3/2017,10:11,car,listing
User queried car listing from the city of New York on |11/3/2017,10:11,car,listing
User queried car listing from the city of  on |11/3/2017,11:15,car,listing
User queried car listing from the city of  on |11/3/2017,11:22,car,listing
User queried car listing from the city of  on |11/3/2017,13:0,car,listing
User booked a car from the city of San Joseon |11/3/2017,13:24,car,buying
User queried flight listing from the city of San Jose to the city of Santa Clara|11/3/2017,13:30,flight,listing
User queried flight listing from the city of San Jose to the city of undefined|11/3/2017,13:33,flight,listing
User queried car listing from the city of San Jose on |11/3/2017,13:33,car,listing
User queried flight listing from the city of San Jose to the city of Santa Clara|11/3/2017,13:33,flight,listing
User queried flight listing from the city of undefined to the city of undefined|11/3/2017,13:35,flight,listing
User queried flight listing from the city of Santa Clara to the city of San Jose|11/3/2017,13:35,flight,listing
User queried flight listing from the city of undefined to the city of undefined|11/3/2017,13:44,flight,listing
User queried flight listing from the city of undefined to the city of undefined|11/3/2017,13:44,flight,listing
User queried flight listing from the city of undefined to the city of undefined|11/3/2017,13:44,flight,listing
User queried flight listing from the city of undefined to the city of undefined|11/3/2017,13:48,flight,listing
User queried flight listing from the city of undefined to the city of undefined|11/3/2017,13:48,flight,listing
User queried flight listing from the city of undefined to the city of undefined|11/3/2017,13:50,flight,listing
User queried flight listing from the city of undefined to the city of undefined|11/3/2017,13:50,flight,listing
User queried flight listing from the city of undefined to the city of undefined|11/3/2017,13:51,flight,listing
User queried flight listing from the city of undefined to the city of undefined|11/3/2017,13:51,flight,listing
User queried flight listing from the city of undefined to the city of undefined|11/3/2017,13:52,flight,listing
User queried flight listing from the city of undefined to the city of undefined|11/3/2017,14:16,flight,listing
User queried flight listing from the city of undefined to the city of undefined|11/3/2017,14:16,flight,listing
User queried flight listing from the city of undefined to the city of undefined|11/3/2017,14:17,flight,listing
User queried flight listing from the city of undefined to the city of undefined|11/3/2017,14:18,flight,listing
User queried car listing from the city of  on |11/3/2017,14:19,car,listing
User queried car listing from the city of San Jose on |11/3/2017,14:19,car,listing
User queried car listing from the city of San Jose on |11/3/2017,14:19,car,listing
User queried car listing from the city of New York on |11/3/2017,14:20,car,listing
User queried car listing from the city of New York on |11/3/2017,14:20,car,listing
User queried car listing from the city of New York on |11/3/2017,14:32,car,listing
User queried car listing from the city of New York on |11/3/2017,14:32,car,listing
User queried flight listing from the city of undefined to the city of undefined|11/3/2017,14:34,flight,listing
User queried flight listing from the city of undefined to the city of undefined|11/3/2017,14:35,flight,listing
User queried flight listing from the city of undefined to the city of undefined|11/3/2017,14:36,flight,listing
User queried flight listing from the city of undefined to the city of undefined|11/3/2017,14:39,flight,listing
User queried flight listing from the city of undefined to the city of undefined|11/3/2017,15:6,flight,listing
User queried flight listing from the city of undefined to the city of undefined|11/3/2017,15:7,flight,listing
User queried flight listing from the city of undefined to the city of undefined|11/3/2017,15:11,flight,listing
User queried flight listing from the city of undefined to the city of undefined|11/3/2017,15:12,flight,listing
User queried flight listing from the city of undefined to the city of undefined|11/3/2017,15:13,flight,listing
User queried flight listing from the city of undefined to the city of undefined|11/3/2017,15:15,flight,listing
User queried flight listing from the city of undefined to the city of undefined|11/3/2017,15:18,flight,listing
User queried flight listing from the city of undefined to the city of undefined|11/3/2017,15:23,flight,listing
User queried flight listing from the city of undefined to the city of undefined|11/3/2017,15:25,flight,listing
User queried flight listing from the city of undefined to the city of undefined|11/3/2017,15:27,flight,listing
User queried flight listing from the city of undefined to the city of undefined|11/3/2017,15:30,flight,listing
User queried flight listing from the city of undefined to the city of undefined|11/3/2017,15:31,flight,listing
User queried flight listing from the city of undefined to the city of undefined|11/3/2017,15:31,flight,listing
User queried flight listing from the city of undefined to the city of undefined|11/3/2017,15:32,flight,listing
User queried flight listing from the city of undefined to the city of undefined|11/3/2017,15:43,flight,listing
User queried flight listing from the city of undefined to the city of undefined|11/3/2017,15:44,flight,listing
User queried flight listing from the city of undefined to the city of undefined|11/3/2017,15:46,flight,listing
User queried flight listing from the city of undefined to the city of undefined|11/3/2017,15:48,flight,listing
User queried flight listing from the city of undefined to the city of undefined|11/3/2017,15:48,flight,listing
User queried flight listing from the city of undefined to the city of undefined|11/3/2017,15:50,flight,listing
